symbol,holding_signal,holding_score,announcement_score,ai_tone_score,management_score,management_label,announcement_types,as_of_date
GEMAROMA,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
GENCON,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GENESYS,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
GENUSPAPER,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GENUSPOWER,STABLE,50.0,60.0,,54.0,NEUTRAL,ACQUISITION,2026-08-18
GEOJITFSL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GESHIP,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND|DIVIDEND,2026-08-18
GFLLIMITED,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GHCL,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
GHCLTEXTIL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
GICHSGFIN,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
GICL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GICRE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GILLANDERS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GILLETTE,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
GINNIFILA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GIPCL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GKENERGY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GKSL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GKWLIMITED,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GLAND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GLAXO,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
GLENMARK,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
GLOBAL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GLOBALVECT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GLOBE,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
GLOBUSSPR,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
GLOSTERLTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GMBREW,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
GMDCLTD,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
GMMPFAUDLR,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
GMRAIRPORT,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
GMRP&UI,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
GNA,FII_ACCUMULATION,60.0,70.0,,64.0,POSITIVE,DIVIDEND,2026-08-18
GNFC,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GOACARBON,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GOCLCORP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GOCOLORS,STRONG_PROMOTER_BUY,70.0,80.0,100.0,83.0,HIGH_CONVICTION,BUYBACK,2026-08-18
GODAVARIB,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GODFRYPHLP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GODIGIT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GODREJAGRO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GODREJCP,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND|DIVIDEND,2026-08-18
GODREJIND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GODREJPROP,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
GOKEX,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GOKUL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GOKULAGRO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GOLDIAM,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
GOLDTECH,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GOODLUCK,DII_ACCUMULATION,55.0,70.0,,61.0,POSITIVE,DIVIDEND,2026-08-18
GOPAL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND|DIVIDEND,2026-08-18
GOYALALUM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GPIL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GPPL,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
GPTHEALTH,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
GPTINFRA,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND|DIVIDEND,2026-08-18
GRANULES,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
GRAPHITE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GRASIM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GRAVITA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GREAVESCOT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GREENLAM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GREENPANEL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GREENPLY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GREENPOWER,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GRINDWELL,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
GRINFRA,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
GRMOVER,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
GROBTEA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GROWW,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
GRPLTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GRSE,FII_ACCUMULATION,60.0,70.0,,64.0,POSITIVE,DIVIDEND,2026-08-18
GRWRHITECH,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GSFC,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GSLSU,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GSPCROP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GTL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GTLINFRA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GTPL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GUFICBIO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GUJALKALI,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
GUJAPOLLO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GUJENERGY,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
GUJRAFFIA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GUJTHEM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GULFOILLUB,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
GULPOLY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GVPIL,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
GVPTECH,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
GVT&D,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
HAL,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
HALEOSLABS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HAPPSTMNDS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HAPPYFORGE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HARDWYN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HARIOMPIPE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HARRMALAYA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HARSHA,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
HATHWAY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HATSUN,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
HAVELLS,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND|DIVIDEND,2026-08-18
HAVISHA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HBLENGINE,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
HCC,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
HCG,FII_DII_DIVERGENCE,40.0,45.0,,42.0,NEUTRAL,FUNDRAISE,2026-08-18
HCL-INSYS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HCLTECH,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND|DIVIDEND,2026-08-18
HDBFS,DII_ACCUMULATION,55.0,70.0,,61.0,POSITIVE,DIVIDEND,2026-08-18
HDFCAMC,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
HDFCBANK,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
HDFCLIFE,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
HEADSUP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HEALTHX,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
HECPROJECT,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
HEG,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
HEIDELBERG,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HEMIPROP,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
HERANBA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HERITGFOOD,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
HEROMOTOCO,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
HESTERBIO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HEXAGON,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HEXATRADEX,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HEXT,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
HFCL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HGINFRA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HGM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HGS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HIKAL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
HILTON,STABLE,50.0,45.0,,48.0,NEUTRAL,FUNDRAISE,2026-08-18
HIMATSEIDE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HINDALCO,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
HINDCOMPOS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HINDCOPPER,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
HINDOILEXP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HINDPETRO,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
HINDUNILVR,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
HINDWAREAP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HINDZINC,FII_ACCUMULATION,60.0,70.0,,64.0,POSITIVE,DIVIDEND,2026-08-18
HIRECT,STABLE,50.0,65.0,,56.0,POSITIVE,BONUS,2026-08-18
HISARMETAL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HITECH,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HLEGLAS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HLVLTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HMAAGRO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HMVL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HNDFDS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HOMEFIRST,FII_ACCUMULATION,60.0,70.0,,64.0,POSITIVE,DIVIDEND,2026-08-18
HONASA,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
HONAUT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HONDAPOWER,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
HPAL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HPIL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HPL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HSCL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
HTMEDIA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
HUBTOWN,PROMOTER_SELLING,20.0,50.0,,32.0,WEAK,,2026-08-18
HUDCO,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND|DIVIDEND,2026-08-18
HUHTAMAKI,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
HYUNDAI,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
ICDSLTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ICEMAKE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ICICIAMC,DII_ACCUMULATION,55.0,70.0,,61.0,POSITIVE,DIVIDEND|DIVIDEND,2026-08-18
ICICIBANK,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ICICIGI,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
ICICIPRULI,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
ICIL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ICRA,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
IDBI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IDEA,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
IDFCFIRSTB,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
IEX,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND|DIVIDEND,2026-08-18
IFBIND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IFCI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IFGLEXPOR,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IGARASHI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IGCL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IGIL,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
IGL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
IGPL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IIFL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
IIFLCAPS,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
IITL,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
IKIO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IKS,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
IMAGICAA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IMFA,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
IMPAL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
INA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INCREDIBLE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDBANK,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDGN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDHOTEL,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
INDIACEM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDIAGLYCO,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
INDIAMART,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
INDIANB,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
INDIANCARD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDIANHUME,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDIASHLTR,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
INDIGO,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
INDIGOPNTS,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
INDIQUBE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDNIPPON,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
INDOBORAX,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
INDOCO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDOFARM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDORAMA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDOSTAR,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
INDOTHAI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDOUS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDRAMEDCO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDSWFTLAB,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
INDTERRAIN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INDUSINDBK,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
INDUSTOWER,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
INFOBEAN,PROMOTER_SELLING,20.0,65.0,,38.0,NEUTRAL,BONUS,2026-08-18
INFOMEDIA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INFY,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
INGERRAND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INNOVACAP,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
INNOVANA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INOXGREEN,STRONG_PROMOTER_FII_BUY,90.0,50.0,,74.0,POSITIVE,,2026-08-18
INOXINDIA,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
INOXWIND,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
INSECTICID,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
INTELLECT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INTENTECH,PROMOTER_SELLING,20.0,50.0,,32.0,WEAK,,2026-08-18
INTERARCH,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
INTLCONV,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
INVENTURE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IOB,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IOC,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
IOLCP,STRONG_PROMOTER_BUY,70.0,70.0,,70.0,POSITIVE,DIVIDEND,2026-08-18
IONEXCHANG,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
IPCALAB,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IPL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IRB,FII_ACCUMULATION,60.0,68.3,,63.3,POSITIVE,DIVIDEND|BONUS|DIVIDEND,2026-08-18
IRCON,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
IRCTC,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
IREDA,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
IRFC,DII_ACCUMULATION,55.0,70.0,,61.0,POSITIVE,DIVIDEND,2026-08-18
IRIS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IRISDOREME,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IRMENERGY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ISFT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ISGEC,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ISHANCH,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ITC,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND|DIVIDEND,2026-08-18
ITCHOTELS,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ITDC,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ITI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IVALUE,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
IVC,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IVP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
IXIGO,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
IZMO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
J&KBANK,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JAGRAN,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
JAGSNPHARM,STABLE,50.0,80.0,,62.0,POSITIVE,BUYBACK,2026-08-18
JAICORPLTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JAINREC,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
JAIPURKURT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JAMNAAUTO,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
JARO,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
JASH,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
JAYAGROGN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JAYBARMARU,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JAYKAY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JAYNECOIND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JAYSREETEA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JBCHEPHARM,STRONG_PROMOTER_BUY,70.0,70.0,,70.0,POSITIVE,DIVIDEND|DIVIDEND,2026-08-18
JBMA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JETFREIGHT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JGCHEM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JHS,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
JINDALPHOT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JINDALPOLY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JINDALSAW,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
JINDALSTEL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JINDRILL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JINDWORLD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JIOFIN,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
JISLDVREQS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JISLJALEQS,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
JITFINFRA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JKCEMENT,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
JKIL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JKLAKSHMI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JKPAPER,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
JKTYRE,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
JLHL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
JMA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JMFINANCIL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
JNKINDIA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JPOLYINVST,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JPPOWER,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JSFB,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
JSL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
JSLL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
JSWCEMENT,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
JSWDULUX,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
