"TckrSymb","FinInstrmNm"
"HERITGFOOD","HERITAGE FOODS LIMITED"
"SIMRAN","SIMRAN FARMS LTD."
"HINDUST","HINDUSTAN AGRIGENETICS LTD."
"CCL","CCL PRODUCTS (INDIA) LTD."
"KELLTONTEC","KELLTON TECH SOLUTIONS LTD."
"SURFI","SURYO FOODS & INDUSTRIES LTD."
"INTEGFD","INTEGRATED PROTEINS LTD."
"LAKESHORE","LAKE SHORE REALTY LIMITED"
"RICOAUTO","RICO AUTO INDUSTRIES LTD."
"OMAXAUTO","OMAX AUTOS LTD."
"MUNJALSHOW","MUNJAL SHOWA LTD."
"JAMNAAUTO","JAMNA AUTO INDUSTRIES LTD."
"TVSHLTD","TVS Holdings Limited"
"JTEKTINDIA","JTEKT India Ltd"
"MUNJALAU","MUNJAL AUTO INDUSTRIES LTD."
"JAYBARMARU","JAY BHARAT MARUTI LTD."
"RACLGEAR","RACL Geartech Limited"
"SAMKRG","SAMKRG PISTONS & RINGS LTD."
"SICALLOG","SICAL LOGISTICS LTD."
"RATNAMANI","RATNAMANI METALS & TUBES LTD."
"VESUVIUS","VESUVIUS INDIA LTD."
"ASAL","AUTOMOTIVE STAMPINGS & ASSEMBL"
"ARCEEIN","ARCEE INDUSTRIES LTD."
"ABCINDQ","ABC INDIA LTD."
"BALTE","BALURGHAT TECHNOLOGIES LTD."
"COARO","COASTAL ROADWAYS LTD."
"SIBARAUT","SIBAR AUTO PARTS LTD."
"TRANSWORLD","TRANSWORLD SHIPPING LINES LIMI"
"STARLOG","Starlog Enterprises Limited"
"TITANIN","TITAN INTECH LIMITED"
"EUROTEXIND","EUROTEX INDUSTRIES & EXPORTS L"
"ICIL","INDO COUNT INDUSTRIES LTD."
"SOMATEX","SOMA TEXTILES & INDUSTRIES LTD"
"SOURCEIND","SOURCE INDUSTRIES (INDIA) LTD."
"ADVLIFE","ADVANCE LIFESTYLES LTD."
"KAKTEX","KAKATIYA TEXTILES LTD."
"OCTAVE","PERFECT-OCTAVE MEDIA PROJECTS"
"TRIDENT","TRIDENT LTD."
"HISARSP","HISAR SPINNING MILLS LTD."
"ALOKINDS","ALOK INDUSTRIES LTD."
"PASARI","PASARI SPINNING MILLS LTD."
"AMARJOTHI","AMARJOTHI SPINNING MILLS LTD."
"OLYMPTX","OLYMPIA INDUSTRIES LTD."
"NAGREEKEXP","NAGREEKA EXPORTS LTD."
"SUDTIND-B","SUDITI INDUSTRIES LTD."
"SBFL","Shree Bhavya Fabrics Limited"
"EUREKAI","EUREKA INDUSTRIES LTD."
"ADITYASP","ADITYA SPINNERS LTD."
"PRIMEURB","PRIME URBAN DEVELOPMENT INDIA"
"SLSTLQ","SRI LAKSHMI SARASWATHI TEXTILE"
"ZODIACLOTH","ZODIAC CLOTHING CO.LTD."
"SRMCL","SRI RAMAKRISHNA MILLS (COIMBAT"
"SUPERSPIN","SUPER SPINNING MILLS LTD."
"SILINV","SIL INVESTMENTS LTD."
"SAMTEX","SAMTEX FASHIONS LTD."
"CITYMAN","CITYMAN LTD."
"DHANROTO","DHANALAXMI ROTO SPINNERS LTD."
"DAMODARIND","DAMODAR INDUSTRIES LTD."
"UNIROYAL","UNIROYAL INDUSTRIES LTD."
"TATIAGLOB","TATIA GLOBAL VENNTURE LTD."
"SUNILTX","SUNIL INDUSTRIES LTD."
"SRINACHA","SRI NACHAMMAI COTTON MILLS LTD"
"BGDL","BHARAT GLOBAL DEVELOPERS LIMIT"
"SAMBANDAM","SAMBANDAM SPINNING MILLS LTD."
"PARASPETRO","PARAS PETROFILS LTD."
"KITEX","KITEX GARMENTS LTD."
"CRANEX","CRANEX LTD."
"BATLIBOI","BATLIBOI LTD."
"AUSTENG","AUSTIN ENGINEERING CO.LTD."
"UNIDT","UNITED DRILLING TOOLS LTD."
"FLUIDOM","FLUIDOMAT LTD."
"EMAINDIA","EMA INDIA LTD."
"WINDMACHIN","WINDSOR MACHINES LTD."
"SHANTIGEAR","SHANTHI GEARS LTD."
"HONDAPOWER","HONDA INDIA POWER PRODUCTS LIM"
"HITECHGEAR","The Hi-Tech Gears Ltd"
"ELGIEQUIP","ELGI EQUIPMENTS LTD."
"UVDRHOR","UNITED VAN DER HORST LTD."
"KLBRENG-B","KILBURN ENGINEERING LTD."
"BIRLAPREC","BIRLA PRECISION TECHNOLOGIES L"
"YUKEN","YUKEN INDIA LTD."
"TIMKEN","TIMKEN INDIA LTD."
"VOITHPAPR","VOITH PAPER FABRICS INDIA LTD."
"ARTSON","ARTSON LIMITED"
"SOLIMAC","SOLITAIRE MACHINE TOOLS LTD."
"DIACABS","DIAMOND POWER INFRASTRUCTURE L"
"INDSILHYD","INDSIL HYDRO POWER AND MANGANE"
"ITL","ITL INDUSTRIES LTD."
"FRONTSP","FRONTIER SPRINGS LTD."
"PRAJIND","PRAJ INDUSTRIES LTD."
"RASANDIK","RASANDIK ENGINEERING INDUSTRIE"
"YOGISUNG","YOGI SUNG-WON (INDIA) LTD."
"HLEGLAS","HLE GLASCOAT LIMITED"
"GUJAPOLLO","GUJARAT APOLLO INDUSTRIES LTD."
"TANAA","TANEJA AEROSPACE & AVIATION LT"
"CONART","CONART ENGINEERS LTD."
"MINALIND","MINAL INDUSTRIES LIMITED"
"SHIVAGR","SHIVAGRICO IMPLEMENTS LTD."
"MMFL","M.M.FORGINGS LTD."
"MAYURUNIQ","MAYUR UNIQUOTERS LTD."
"CENLUB","CENLUB INDUSTRIES LTD."
"RAJOOENG","RAJOO ENGINEERS LTD."
"DOLPHIN","DOLPHIN OFFSHORE ENTERPRISES ("
"VJLAXMIE","VEEJAY LAKSHMI ENGINEERING WOR"
"AHMDSTE","AHMEDABAD STEELCRAFT LTD."
"GVT&D","GE Vernova T&D India Limited"
"RAMRAT","RAM RATNA WIRES LTD."
"JAYNECOIND","JAYASWAL NECO INDUSTRIES LTD."
"KPIL","KALPATARU PROJECTS INTERNATION"
"NMSGLOBAL","NMS GLOBAL LIMITED"
"CANDOUR","CANDOUR TECHTEX LIMITED"
"TIGLOB","T & I GLOBAL LTD."
"CONTROLPR","CONTROL PRINT LTD."
"BEMHY","BEMCO HYDRAULICS LTD."
"ANSALBU","ANSAL BUILDWELL LTD."
"BNRSEC","B.N.RATHI SECURITIES LTD."
"RISHITECH","RISHI TECHTEX LTD."
"SINCLAIR","SINCLAIRS HOTELS LTD."
"SAFARI","SAFARI INDUSTRIES (INDIA) LTD."
"JJFINCOR","J.J.FINANCE CORPORATION LTD."
"COSMOFE","COSMO FERRITES LTD."
"CROPSTER","CROPSTER AGRO LIMITED"
"SANCTRN","SANCO TRANS LTD."
"THRIVE","THRIVE FUTURE HABITATS LIMITED"
"EIHAHOTELS","EIH ASSOCIATED HOTELS LTD."
"MEDICAPQ","MEDI-CAPS LTD."
"FOSECOC","FOSECO CRUCIBLE INDIA LIMITED"
"BAPACK","B&A PACKAGING INDIA LIMITED"
"KOKUYOCMLN","KOKUYO CAMLIN LTD."
"BHARATSE","BHARAT SEATS LTD."
"CONTPTR","CONTINENTAL PETROLEUMS LTD."
"NBFOOT","NB FOOTWEAR LTD."
"MACPLASQ","MACHINO PLASTICS LTD."
"PEARLPOLY","PEARL POLYMERS LTD."
"VENKEYS","VENKYS (INDIA) LTD."
"ADVANIHOTR","ADVANI HOTELS & RESORTS (INDIA"
"SUPERHOUSE","SUPERHOUSE LTD."
"RAMAVISION","RAMA VISION LTD."
"TCPLPACK","TCPL PACKAGING LTD."
"SHRIGANG","SHRI GANG INDUSTRIES AND ALLIE"
"BALMLAWRIE","BALMER LAWRIE & CO.LTD."
"KOVAI","KOVAI MEDICAL CENTER & HOSPITA"
"ELDEHSG","ELDECO HOUSING & INDUSTRIES LT"
"STDSHOE","STANDARD SHOE SOLE AND MOULD ("
"DCMSHRIRAM","DCM SHRIRAM LIMITED"
"DCMSRIND","DCM SHRIRAM INDUSTRIES LTD."
"MAWANASUG","MAWANA SUGARS LTD."
"MINID","MINI DIAMONDS (INDIA) LTD."
"MAHAPEXLTD","MAHA RASHTRA APEX CORPORATION"
"NILKAMAL","NILKAMAL LTD."
"HOM","HOMRE LIMITED"
"NAHARPOLY","NAHAR POLYFILMS LTD."
"3MINDIA","3M INDIA LTD."
"BOSCH-HCIL","BOSCH HOME COMFORT INDIA LIMIT"
"JMFINANCIL","JM FINANCIAL LTD."
"ADCINDIA","ADC INDIA COMMUNICATIONS LIMIT"
"TNTELE","TAMILNADU TELECOMMUNICATIONS L"
"SUNRAJDI","SUNRAJ DIAMOND EXPORTS LTD."
"RIIL","RELIANCE INDUSTRIAL INFRASTRUC"
"LINDEINDIA","Linde India Limited"
"INDBNK","IND BANK HOUSING LTD."
"JAIMATAG","JAI MATA GLASS LTD."
"LOTUSCHO","LOTUS CHOCOLATE CO.LTD."
"PACIFICI","PACIFIC INDUSTRIES LTD."
"CMMHOSP","CHENNAI MEENAKSHI MULTISPECIAL"
"APMIN","APM INDUSTRIES LTD."
"PRECWIRE","PRECISION WIRES INDIA LTD."
"KRYPTONQ","KRYPTON INDUSTRIES LTD."
"SWISSMLTRY","SWISS MILITARY CONSUMER GOODS"
"MARBU","MARTIN BURN LTD."
"FEL","Future Enterprises Limited"
"INDTONER","INDIAN TONERS & DEVELOPERS LTD"
"KUNSTOFF","KUNSTSTOFFE INDUSTRIES LTD."
"SCI","SHIPPING CORPORATION OF INDIA"
"SIKA","SIKA INTERPLANT SYSTEMS LTD."
"ITI","ITI LTD."
"DREDGECORP","DREDGING CORPORATION OF INDIA"
"PHRMASI","PHAARMASIA LTD."
"NFL","NATIONAL FERTILIZERS LTD."
"IPRINGLTD","IP RINGS LTD."
"PIIND","P.I.INDUSTRIES LTD."
"PLASTIBLEN","PLASTIBLENDS INDIA LTD."
"YASHINNO","YASH INNOVENTURES LIMITED"
"KKPLASTICK","Kkalpana Plastick Limited"
"WATERBASE","WATERBASE LTD."
"FLEXFO","FLEX FOODS LTD."
"GOLKUNDIA","GOLKUNDA DIAMONDS & JEWELLERY"
"APCOTEXIND","APCOTEX INDUSTRIES LTD."
"FORTISMLR","FORTIS MALAR HOSPITALS LIMITED"
"MASTEK","MASTEK LTD."
"EIMCOELECO","EIMCO ELECON (INDIA) LTD."
"SAYAJIHOTL","SAYAJI HOTELS LTD."
"ASHIANA","ASHIANA HOUSING LTD."
"SVAMSOF","SVAM SOFTWARE LTD."
"ECOBOAR","ECOBOARD INDUSTRIES LTD."
"DVL","Dhunseri Ventures Limited"
"TIHIL","TRANS INDIA HOUSE IMPEX LIMITE"
"MAHEPC","MAHINDRA EPC IRRIGATION LIMITE"
"MITSHI","Mitshi India Limited"
"MAZDA","MAZDA LTD."
"VHLTD","VICEROY HOTELS LTD."
"SOVERDIA","SOVEREIGN DIAMONDS LTD."
"MENONBE","MENON BEARINGS LTD."
"MUKATPIP","MUKAT PIPES LTD."
"GUJRAFFIA","GUJARAT RAFFIA INDUSTRIES LTD."
"SIMPLEXINF","SIMPLEX INFRASTRUCTURES LTD."
"INNOVTEC","INNOVATIVE TECH PACK LTD."
"SUPTANERY","SUPER TANNERY LIMITED"
"CONSTRONIC","CONSTRONICS INFRA LIMITED"
"AXTEL","AXTEL INDUSTRIES LTD."
"GRANDOAK","GRAND OAK CANYONS DISTILLERY L"
"EASTINDIA","East India Drums and Barrels M"
"MEGAMONT","MEGAMONT LIMITED"
"POONAWALLA","POONAWALLA FINCORP LIMITED"
"KINGFA","Kingfa Science & Technology (I"
"RAMAPHO","RAMA PHOSPHATES LTD."
"VENLONENT","VENLON ENTERPRISES LTD."
"POLYPLEX","POLYPLEX CORPORATION LTD."
"ALBERTDAVD","ALBERT DAVID LTD."
"HARLETH","HARYANA LEATHER CHEMICALS LTD."
"CARYSIL","CARYSIL LIMITED"
"KABRAEXTRU","KABRA EXTRUSIONTECHNIK LTD."
"VINYLINDIA","VINYL CHEMICALS (INDIA) LTD."
"PCCOSMA","PEE CEE COSMA SOPE LTD."
"TCMLMTD","TCM LTD."
"IOLCP","IOL CHEMICALS & PHARMACEUTICAL"
"KESARPE","KESAR PETROPRODUCTS LTD."
"VINATIORGA","VINATI ORGANICS LTD."
"LACTOSE","LACTOSE (INDIA) LTD."
"TEEAI","TEESTA AGRO INDUSTRIES LTD."
"AARTIIND","AARTI INDUSTRIES LTD."
"PNTKYOR","PENTOKEY ORGANY (INDIA) LTD."
"WANBURY","WANBURY LTD."
"RESONANCE","RESONANCE SPECIALTIES LTD."
"GAEL","GUJARAT AMBUJA EXPORTS LTD."
"RCF","RASHTRIYA CHEMICALS & FERTILIZ"
"GUJINJEC","GUJARAT INJECT (KERALA) LTD."
"KOPRAN","KOPRAN LTD."
"AIMCOPEST","AIMCO PESTICIDES LTD."
"GUJTERC","GUJARAT TERCE LABORATORIES LTD"
"KABRADG","KABRA DRUGS LTD."
"SEYAIND","SEYA INDUSTRIES LTD."
"JAYAGROGN","JAYANT AGRO-ORGANICS LTD."
"BCLIND","BCL INDUSTRIES LIMITED"
"SHHARICH","SHREE HARI CHEMICALS EXPORT LT"
"INDOBORAX","INDO BORAX & CHEMICALS LTD."
"AARTIDRUGS","AARTI DRUGS LTD."
"BODALCHEM","BODAL CHEMICALS LTD."
"ORCHPHARMA","Orchid Pharma Limited"
"VIMTALABS","VIMTA LABS LTD."
"BIOFILCHEM","BIOFIL CHEMICALS & PHARMACEUTI"
"ISHITADR","ISHITA DRUGS & INDUSTRIES LTD."
"MARKSANS","MARKSANS PHARMA LTD."
"UNIVSTAR","UNIVERSAL STARCH-CHEM ALLIED L"
"AAREYDRUGS","AAREY DRUGS & PHARMACEUTICALS"
"NORRIS","NORRIS MEDICINES LTD."
"ASINPET","ASIAN PETROPRODUCTS & EXPORTS"
"CAMEXLTD","CAMEX LTD."
"EVEXIA","EVEXIA LIFECARE LIMITED"
"INDOEURO","INDO EURO INDCHEM LTD."
"SYNCOMF","SYNCOM FORMULATIONS (INDIA) LT"
"RIDDHI","RIDDHI SIDDHI GLUCO BIOLS LTD."
"SVCIND","SVC INDUSTRIES LIMITED"
"IPCALAB","IPCA LABORATORIES LTD."
"KILITCH","KILITCH DRUGS (INDIA) LTD."
"RAAJMEDI","RAAJ MEDISAFE INDIA LTD."
"CORALAB","CORAL LABORATORIES LTD."
"TULASEEBIOE","TULASEE BIO-ETHANOL LTD."
"BACPHAR","BACIL PHARMA LTD."
"KREBSBIO","KREBS BIOCHEMICALS & INDUSTRIE"
"KMCSHIL","KMC SPECIALITY HOSPITALS (INDI"
"LAFFANSQ","LAFFANS PETROCHEMICALS LTD."
"BHASKAGR","BHASKAR AGROCHEMICALS LTD."
"SUKHJITS","SUKHJIT STARCH & CHEMICALS LTD"
"SHARMEH","SHARMA EAST INDIA HOSPITALS &"
"NEULANDLAB","NEULAND LABORATORIES LTD."
"GAYATRIBI","GAYATRI BIOORGANICS LTD."
"PHARMAID","PHARMAIDS PHARMACEUTICALS LTD."
"VIVIDIND","VIVID GLOBAL INDUSTRIES LTD."
"TIRUSTA","TIRUPATI STARCH & CHEMICALS LT"
"HEMORGANIC","HEMO ORGANIC LIMITED"
"JAYSYNTH","JAYSYNTH ORGOCHEM LIMITED"
"AEONXDIGI","Aeonx Digital Technology Limit"
"AKSHARCHEM","AKSHARCHEM (INDIA) LTD."
"BANDARAM","BANDARAM PHARMA PACKTECH LIMIT"
"BERLDRG","BERYL DRUGS LTD."
"INDXTRA","IEL LIMITED"
"ISTRNETWK","ISTREET NETWORK LIMITED"
"GAGAN","GAGAN GASES LTD."
"PARKERAC","PARKER AGROCHEM EXPORTS LTD."
"SHUKRAPHAR","Shukra Pharmaceuticals Limited"
"ALUFLUOR","ALUFLUORIDE LTD."
"OXYGENTAPH","OXYGENTA PHARMACEUTICAL LIMITE"
"ARCHITORG","ARCHIT ORGANOSYS LTD."
"SIKOZY","SIKOZY REALTORS LIMITED"
"INDOAMIN","INDO AMINES LTD."
"NATCAPSUQ","NATURAL CAPSULES LTD."
"WELCURE","WELCURE DRUGS & PHARMACEUTICAL"
"BIBCL","BHARAT IMMUNOLOGICALS & BIOLOG"
"SOTL","SAVITA OIL TECHNOLOGIES LTD."
"HESTERBIO","HESTER BIOSCIENCES LTD."
"KABSON","KABSONS INDUSTRIES LTD."
"BASANTGL","BASANT AGRO TECH (INDIA) LTD."
"SANDUPHQ","SANDU PHARMACEUTICALS LTD."
"NACLIND","NACL Industries Limited"
"VISTAPH","VISTA PHARMACEUTICALS LTD."
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES"
"TITANBIO","TITAN BIOTECH LTD."
"JENBURPH","JENBURKT PHARMACEUTICALS LTD."
"HIKAL","HIKAL LTD."
"CAPLIPOINT","CAPLIN POINT LABORATORIES LTD."
"FISCHER","FISCHER MEDICAL VENTURES LIMIT"
"LINKPH","LINK PHARMA CHEM LTD."
"DECIPHER","DECIPHER LABS LIMITED"
"EMMESSA","EMMESSAR BIOTECH & NUTRITION L"
"NGLFINE","NGL FINE-CHEM LTD."
"EVERESTO","EVEREST ORGANICS LTD."
"AUROPHARMA","AUROBINDO PHARMA LTD."
"PHYTO","PHYTO CHEM (INDIA) LTD."
"NATCOPHARM","NATCO PHARMA LTD."
"DYNAMIND","DYNAMIC INDUSTRIES LTD."
"PANAMAPET","PANAMA PETROCHEM LTD."
"BALPHARMA","BAL PHARMA LTD."
"BDH","BDH INDUSTRIES LTD."
"JAUSPOL","JAUSS POLYMERS LTD."
"GLOBUSCON","GLOBUS CONSTRUCTORS & DEVELOPE"
"CUBEXTUB","CUBEX TUBINGS LTD."
"POLYCHMP","POLYMECHPLAST MACHINES LTD."
"STELLANT","STELLANT SECURITIES (INDIA) LT"
"GALXBRG","GALAXY BEARINGS LTD."
"VINRKLB","REKVINA LABORATORIES LTD."
"SCAGRO","SC Agrotech Limited"
"RALEGRA","RAVILEELA GRANITES LTD."
"UNRYLMA","UNIROYAL MARINE EXPORTS LTD."
"KARANWO","KARAN WOO-SIN LTD."
"SHERVANI","SHERVANI INDUSTRIAL SYNDICATE"
"BNAGROCHEM","BN AGROCHEM LIMITED"
"SUPERTEX","SUPERTEX INDUSTRIES LTD."
"SHETR","SHETRON LTD."
"TRABI","TRANSGENE BIOTEK LTD."
"MPL","MPL PLASTICS LTD."
"NIKHILAD","NIKHIL ADHESIVES LTD."
"SPENTA","SPENTA INTERNATIONAL LTD."
"MULTIBASE","MULTIBASE INDIA LTD."
"ANDREWYU","ANDREW YULE & COMPANY LTD."
"LUDLOWJUT","LUDLOW JUTE & SPECIALITIES LTD"
"ASHRAM","ASHRAM ONLINE.COM LTD."
"ROYALCU","ROYAL CUSHION VINYL PRODUCTS L"
"SURJIND","SURAJ INDUSTRIES LTD."
"HITECHCORP","Hitech Corporation Limited"
"BLOOM","BLOOM DEKOR LTD."
"FILATEX","FILATEX INDIA LTD."
"STDSFAC","STANDARD SURFACTANTS LTD."
"MORGAN","MORGAN VENTURES LTD."
"AMRAPLIN","AMRAPALI INDUSTRIES LTD."
"PREMEXPLN","PREMIER EXPLOSIVES LTD."
"MIDEASTP","MID EAST PORTFOLIO MANAGEMENT"
"MOLDTECH","MOLD-TEK TECHNOLOGIES LTD."
"CRSTCHM","CRESTCHEM LTD."
"MPHASIS","MPHASIS LTD."
"DIVSHKT","DIVYASHAKTI LIMITED"
"ORIENTLTD","ORIENT PRESS LTD."
"SHREYASI","SHREYAS INTERMEDIATES LTD."
"PANJON","PANJON LTD."
"DUROPACK","DUROPACK LTD."
"SWARNSAR","SWARNSARITA JEWELS INDIA LIMIT"
"GANESHHOU","GANESH HOUSING LIMITED"
"NMDC","NMDC LTD."
"CINDHO","CINDRELLA HOTELS LTD."
"PATINTLOG","PATEL INTEGRATED LOGISTICS LTD"
"ALPHAGEO","ALPHAGEO (INDIA) LTD."
"HAMPTON","HAMPTON SKY REALTY LIMITED"
"KKALPANAIND","KKALPANA INDUSTRIES (INDIA) LT"
"OKPLA","OK PLAY INDIA LTD."
"KRITI","KRITI INDUSTRIES (INDIA) LTD."
"ASMTEC","ASM TECHNOLOGIES LTD."
"PERFEPA","PERFECTPAC LTD."
"AMBIT","AMBITIOUS PLASTOMAC COMPANY LT"
"VISIONCINE","VISION CINEMAS LTD."
"AEIM","Artificial Electronics Intelli"
"INDRANIB","INDRAYANI BIOTECH LTD."
"EUROLED","EURO LEDER FASHION LTD."
"WINSOMBR","WINSOME BREWERIES LTD."
"ELEFLOR","ELEGANT FLORICULTURE & AGROTEC"
"SKYIND","SKY INDUSTRIES LTD."
"PHOENXINTL","PHOENIX INTERNATIONAL LTD."
"BHUDEVI","BHUDEVI INFRA PROJECTS LIMITED"
"PRATIK","PRATIK PANELS LTD."
"RISHIROOP","Rishiroop Limited"
"PROMACT","Promact Plastics Limited"
"STRGRENWO","STERLING GREEN WOODS LTD."
"SYSTMTXC","SYSTEMATIX CORPORATE SERVICES"
"SHAHISHIP","Shahi Shipping Limited"
"ALPINEHOU","ALPINE HOUSING DEVELOPMENT COR"
"WWALUM","WORLDWIDE ALUMINIUM LIMITED"
"IIRM","IIRM HOLDINGS INDIA LIMITED"
"SFPIL","SQUARE FOUR PROJECTS INDIA LIM"
"SGLRES","SGL RESOURCES LIMITED"
"CHOKSILA","CHOKSI LABORATORIES LTD."
"CCHHL","COUNTRY CLUB HOSPITALITY AND H"
"MIDWEST","MIDWEST GOLD LTD."
"TPLPLASTEH","TPL PLASTECH LTD."
"WIMPLAST","WIM PLAST LTD."
"PHOTOQUP","PHOTOQUIP INDIA LTD."
"LIBERTSHOE","LIBERTY SHOES LTD."
"LIPPISYS","LIPPI SYSTEMS LTD."
"ELECTHERM","ELECTROTHERM (INDIA) LTD."
"BLUEDART","BLUE DART EXPRESS LTD."
"EXPOEAPL","EXPO ENGINEERING AND PROJECTS"
"NATPLAS","NATIONAL PLASTIC INDUSTRIES LT"
"MFLINDIA","MFL INDIA LTD."
"TEXELIN","TEXEL INDUSTRIES LTD."
"RAYALEMA","ROYALE MANOR HOTELS & INDUSTRI"
"MIRZAINT","MIRZA INTERNATIONAL LTD."
"TFCILTD","TOURISM FINANCE CORPORATION OF"
"THAKDEV","THAKKERS DEVELOPERS LTD."
"ARENTERP","RAJDARSHAN INDUSTRIES LTD."
"BIL","BHARTIYA INTERNATIONAL LTD."
"KAMATHOTEL","KAMAT HOTELS (INDIA) LTD."
"TIRTPLS","TIRTH PLASTIC LTD."
"KEEPLEARN","DSJ KEEP LEARNING LIMITED"
"ECOPLAST","ECOPLAST LTD."
"ELEMARB","ELEGANT MARBLES & GRANI INDUST"
"BITS","BITS LTD."
"ADARSHPL","ADARSH PLANT PROTECT LTD."
"HPBL","HCP PLASTENE BULKPACK LIMITED"
"NICCOPAR","NICCO PARKS & RESORTS LTD."
"NTCIND","NTC INDUSTRIES LTD."
"GARNET","GARNET CONSTRUCTION LTD."
"GOLDIAM","GOLDIAM INTERNATIONAL LTD."
"BRIGHTBR","BRIGHT BROTHERS LTD."
"SHAWGELTIN","NARMADA GELATINES LTD."
"PGFOILQ","PG FOILS LTD."
"GRATEXI","GRATEX INDUSTRIES LTD."
"VELHO","VELAN HOTELS LTD."
"HOWARHO","HOWARD HOTELS LTD."
"VALIANT","VALIANT COMMUNICATIONS LTD."
"DRAGARWQ","DR.AGARWALS EYE HOSPITAL LTD."
"GREENPLY","GREENPLY INDUSTRIES LTD."
"SEAMECLTD","SEAMEC LTD."
"RAGHUNAT","RAGHUNATH INTERNATIONAL LTD."
"CHEVIOT","CHEVIOT CO.LTD."
"DAICHI","DAI-ICHI KARKARIA LTD."
"RAJINFRA","RAJESWARI INFRASTRUCTURE LIMIT"
"SPICEISLIN","SPICE ISLANDS INDUSTRIES LIMIT"
"CONFIPET","CONFIDENCE PETROLEUM INDIA LTD"
"SIPL","SHELTER INFRA PROJECTS LTD."
"SHAKTIPR","SHAKTI PRESS LTD."
"ASHSI","ASHIRWAD STEELS & INDUSTRIES L"
"BANARBEADS","BANARAS BEADS LTD."
"AREXMIS","AREX INDUSTRIES LTD."
"BI","BILCARE LTD."
"ISFL","ISF LIMITED"
"RISHILASE","RISHI LASER LTD."
"JAINCO","JAINCO PROJECTS (INDIA) LTD."
"KUMPFIN","KUMBHAT FINANCIAL SERVICES LTD"
"INTECCAP","INTEC CAPITAL LTD."
"RAJSEC","RAJASTHAN SECURITIES LIMITED"
"SIDDHEGA","SIDDHESWARI GARMENTS LTD."
"63MOONS","63 Moons Technologies Limited"
"SHIKHAR","SHIKHAR CONSULTANTS LTD."
"SARLAPOLY","SARLA PERFORMANCE FIBERS LTD."
"INDOCRED","INDO CREDIT CAPITAL LTD."
"MKTCREAT","MARKET CREATORS LTD."
"HFIL","HIMALAYA FOOD INTERNATIONAL LI"
"SONALAD","SONAL ADHESIVES LTD."
"PADMAIND","Padmanabh Industries Ltd"
"21STCENMGM","TWENTYFIRST CENTURY MANAGEMENT"
"HRYNSHP","HARIYANA SHIP BREAKERS LTD."
"KALIND","Kalind Limited"
"VAICC","VAISHNO CEMENT CO.LTD."
"TYROON","TYROON TEA CO.LTD."
"LAOPALA","LA OPALA RG LTD."
"STYLAMIND","STYLAM INDUSTRIES LIMITED"
"VENUSREM","VENUS REMEDIES LTD."
"LASTMILE","LAST MILE ENTERPRISES LIMITED"
"GUJCRAFT","GUJARAT CRAFT INDUSTRIES LTD."
"HEERAISP","HEERA ISPAT LTD."
"DHOOTIN","DHOOT INDUSTRIAL FINANCE LTD."
"SHBAJRG","SHRI BAJRANG ALLIANCE LIMITED"
"URJA","URJA GLOBAL LTD."
"ASHAPURMIN","ASHAPURA MINECHEM LTD."
"SHREEPAC","SHREE PACETRONIX LTD."
"GUJALKALI","GUJARAT ALKALIES & CHEMICALS L"
"INDIACEM","INDIA CEMENTS LTD."
"JKTYRE","JK TYRE & INDUSTRIES LTD."
"SIL","STANDARD INDUSTRIES LTD."
"JUBLPHARMA","JUBILANT PHARMOVA LIMITED"
"THEINVEST","THE INVESTMENT TRUST OF INDIA"
"SAMYAKINT","SAMYAK INTERNATIONAL LTD."
"AADIIND","AADI INDUSTRIES LTD."
"SPARKLEGR","SPARKLE GOLD ROCK LIMITED"
"ACKNIT","ACKNIT INDUSTRIES LTD."
"TITANSEC","TITAN SECURITIES LTD."
"REALECO","REAL ECO-ENERGY LIMITED"
"VIVANZA","Vivanza Biosciences Limited"
"YASHRAJC","YASHRAJ CONTAINEURS LTD."
"LORDSHOTL","LORDS ISHWAR HOTELS LIMITED"
"CSLFINANCE","CSL Finance Limited"
"SANGHVIMOV","SANGHVI MOVERS LTD."
"ANTELOPUS","Antelopus Selan Energy Limited"
"PURETROP","PURETROP FRUITS LIMITED"
"FAZE3Q","FAZE THREE LTD."
"ANUPAM","ANUPAM FINSERV LIMITED"
"RAJPACK","RAJ PACKAGING INDUSTRIES LTD."
"PRIVISCL","PRIVI SPECIALITY CHEMICALS LIM"
"NATRAJPR","NATRAJ PROTEINS LTD."
"SAMRATPH","SAMRAT PHARMACHEM LTD."
"NPRFIN","NPR FINANCE LTD."
"NILE","NILE LTD."
"AMCOIND","AMCO INDIA LTD."
"OPTIEMUS","OPTIEMUS INFRACOM LTD"
"KREONFIN","KREON FINNANCIAL SERVICES LTD."
"GYANDEV","GYAN DEVELOPERS & BUILDERS LTD"
"KISAN","KISAN MOULDINGS LTD."
"KERALAYUR","KERALA AYURVEDA LTD."
"MONGIPA","MOONGIPA CAPITAL FINANCE LTD."
"MOHITPPR","MOHIT PAPER MILLS LTD."
"DAULAT","DAULAT SECURITIES LTD."
"ODYSSEY","ODYSSEY TECHNOLOGIES LTD."
"RSCINT","RSC INTERNATIONAL LTD."
"SURATRAML","Surat Trade and Mercantile Lim"
"ATHARVENT","ATHARV ENTERPRISES LTD."
