symbol,sector,as_of_date,bull_run_score,label,label_enc,price_score,sector_flow_score,deal_score,corporate_score,regime_multiplier,ret_30d,ret_90d,ret_365d,vol_ratio,sector_rel_30d,sector_combined_score,rotation_signal_enc,sec_FII_5d,sec_FII_20d,sec_FII_60d,sec_DII_5d,sec_DII_20d,sec_DII_60d,sec_smart_money,sec_retail_score,part_FII_flow,part_DII_flow,part_smart_money,regime_enc,mkt_cap_enc,fund_promoter_pct,fund_fii_pct,fund_dii_pct,shp_promoter_pct,shp_fii_pct,shp_dii_pct,index_count,div_count_12m,has_buyback_12m,has_bonus_12m,corp_confidence,deal_net_cr,ann_score_30d,high_signal_30d,distinct_types_30d,ann_velocity_30d,order_wins_6m,spurt_count_30d,distress_30d,theme_score_max,theme_purity_max,news_sentiment_7d,insider_score,concall_guidance_score,concall_sentiment_score,consensus_score,opm_pct,roce_pct,sales_growth_3y,pe_ratio_log,roe_pct,valuation_label_enc,yoy_revenue_pct,yoy_profit_pct,vs_dma_200,trend_signal_enc,fno_oi_signal_enc,rsi_14,rsi_zone_enc,macd_hist,macd_signal_enc,bb_pct_b,bb_squeeze,adx_14,adx_trending,forward_return_score,rvol,rs_30d_vs_nifty,delivery_5d_pct,promoter_delta,fii_delta,dii_delta,conviction_signal_enc,ai_tone_score,management_score,management_label_enc,astro_score,kundli_score,kundli_yoga_score,kundli_yoga_count,kundli_dasha_benefic
NIFTYIETF,OTHER,2026-08-17,44.86,WATCHLIST,3,55.58,42.21,50.0,50.0,0.9,1.48,3.84,-0.48,1.054,-0.35,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.86,1.0,0.4123,1.0,0.6584,6.11,15.39,0.0,45.5,,,,,,,,,,,,,,,
PSPPROJECT,INFRASTRUCTURE,2026-08-17,44.86,WATCHLIST,3,44.73,40.08,50.0,50.0,0.9,-11.58,20.37,36.94,0.502,-7.18,-14.32,5.0,55773.36,189428.06,752322.22,-493302.75,-1768007.27,-7453547.44,-65.21,-46.82,37.62,-37.45,13.18,2,1.0,0.6882,0.0192,0.0218,68.82000000000001,1.92,2.18,,,,,,,380.0,4.0,3.0,0.455,0.0,0.0,0.0,45.05,1.0,,,,,,6.28,6.28,25.11,4.86976273521484,1.26,1.0,,,12.97,1.0,,68.2,1.0,4.6173,1.0,0.8911,22.47,43.2,1.0,48.5,0.48,-8.81,44.2,0.0,-0.57,0.0,1.0,,50.0,1.0,-35.4,35.0,25.0,2.0,0.0
CHEMBOND,OTHER,2026-08-17,44.86,WATCHLIST,3,50.88,42.21,50.0,38.89,0.9,,,,1.0,,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,1.0,0.0,0.0,0.5,,55.0,0.0,1.0,0.1,0.0,0.0,0.0,,,,,,,,14.43,39.23,81.71,1.843719208158766,9.29,2.0,,,,1.0,,66.9,1.0,4.0,1.0,0.8507,44.11,35.34,1.0,33.0,0.17,,,,,,,,,,,,,,
SBIMIDMOM,OTHER,2026-08-17,44.85,WATCHLIST,3,55.55,42.21,50.0,50.0,0.9,3.16,3.6,,0.172,1.33,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.52,1.0,-0.0417,0.0,0.5527,7.76,19.63,0.0,60.9,,,,,,,,,,,,,,,
DENORA,CAPITAL_GOODS,2026-08-17,44.84,WATCHLIST,3,41.25,37.1,50.0,50.0,0.9,-7.31,17.73,-2.98,0.268,-4.87,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,0.0,0.5368,0.0072,0.0022,53.68000000000001,0.72,0.22,,,,,,,260.0,1.0,3.0,0.625,0.0,0.0,0.0,49.88,1.0,,,,,,-50.0,-20.0,27.63,,-12.69,1.0,,,12.4,1.0,,67.21,1.0,12.1046,1.0,0.7838,38.45,39.56,1.0,48.9,0.26,-4.54,69.5,0.0,0.71,0.0,4.0,,56.0,2.0,-35.4,14.0,31.0,3.0,0.0
MOQUALITY,OTHER,2026-08-17,44.82,WATCHLIST,3,55.42,42.21,50.0,50.0,0.9,2.08,2.29,7.03,0.045,0.25,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.62,1.0,-0.2597,0.0,0.3845,4.89,15.48,0.0,18.2,,,,,,,,,,,,,,,
ESG,OTHER,2026-08-17,44.81,WATCHLIST,3,55.4,42.21,50.0,50.0,0.9,1.16,4.22,-1.29,2.281,-0.67,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.82,1.0,0.0505,1.0,0.6174,5.97,16.42,0.0,36.2,,,,,,,,,,,,,,,
MSCIADD,OTHER,2026-08-17,44.8,WATCHLIST,3,55.35,42.21,50.0,50.0,0.9,1.83,4.38,,0.818,0.0,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.86,1.0,0.0417,1.0,0.6693,6.19,15.01,0.0,25.8,,,,,,,,,,,,,,,
INDIQUBE,REALTY,2026-08-17,44.8,WATCHLIST,3,59.12,40.96,50.0,50.0,0.9,4.46,6.56,-17.74,0.249,6.2,-23.97,2.0,48018.27,206712.16,787367.75,-425780.4,-1993624.52,-7736322.18,-55.64,-26.7,37.62,-37.45,13.18,2,1.0,0.601,0.0218,0.147,60.1,2.18,14.7,,,,,,,580.0,5.0,4.0,0.5,0.0,0.0,0.0,45.05,1.0,,,,,,,,,,,,,,0.68,1.0,,55.64,1.0,0.9198,1.0,0.7365,17.16,25.01,1.0,36.3,0.24,7.23,64.0,0.06,-0.12,0.03,1.0,,50.0,1.0,-35.4,33.0,23.0,4.0,0.0
JKIPL,OTHER,2026-08-17,44.8,WATCHLIST,3,51.08,42.21,50.0,50.0,0.9,,,,1.029,,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,540.0,3.0,5.0,0.714,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,,88.58,0.0,5.7549,2.0,1.1651,50.0,43.03,1.0,45.6,0.15,,71.7,,,,,,,,,,,,
VENUSPIPES,METAL,2026-08-17,44.8,WATCHLIST,3,44.25,39.98,50.0,44.44,0.9,-11.94,22.43,25.59,0.933,-11.74,6.5,2.0,140554.13,415268.22,1165588.47,-1242030.87,-3767772.39,-11155019.38,-33.4,-3.85,37.62,-37.45,13.18,2,1.0,0.4841,0.0271,0.1749,48.41,2.71,17.49,,2.0,0.0,0.0,1.0,,1477.0,9.0,5.0,0.793,0.0,0.0,0.0,45.05,1.0,,,,,,16.46,17.07,30.9,3.7669972333778885,9.05,2.0,,,22.65,1.0,,76.22,0.0,25.3606,1.0,0.9404,33.22,24.4,0.0,57.3,0.94,-9.17,52.7,0.0,-1.25,0.14,1.0,,50.0,1.0,-35.4,58.0,36.0,2.0,1.0
AADHARHFC,FINANCIAL_SERVICES,2026-08-17,44.79,WATCHLIST,3,39.95,38.17,50.0,50.0,0.9,-5.3,5.06,-3.14,0.681,-3.96,-2.21,2.0,231953.0,937007.01,2703367.04,-2049541.97,-8677871.9,-26407866.45,-31.48,30.94,37.62,-37.45,13.18,2,2.0,0.649,0.0613,0.0915,64.9,6.13,9.15,3.0,,,,,,1000.0,7.0,7.0,0.667,0.0,0.0,0.0,46.22,1.0,,,,,,76.61,8.88,20.81,3.1855258451866466,30.01,3.0,,,0.64,1.0,,62.73,1.0,4.4153,1.0,0.8691,16.98,26.61,1.0,44.4,0.67,-2.53,57.3,-10.29,-0.05,0.7,3.0,,53.0,1.0,,38.0,3.0,2.0,1.0
INFRAIETF,OTHER,2026-08-17,44.78,WATCHLIST,3,55.23,42.21,50.0,50.0,0.9,1.21,1.25,5.13,1.605,-0.62,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.09,1.0,0.0588,1.0,0.5774,6.89,12.27,0.0,37.9,,,,,,,,,,,,,,,
ABSLBANETF,OTHER,2026-08-17,44.77,WATCHLIST,3,55.18,42.21,50.0,50.0,0.9,0.39,7.78,6.43,0.487,-1.44,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.55,1.0,0.1207,1.0,0.7147,11.44,30.82,1.0,21.8,,,,,,,,,,,,,,,
JUBLINGREA,CHEMICALS,2026-08-17,44.75,WATCHLIST,3,38.52,32.75,50.0,44.44,0.9,-3.38,0.14,0.63,0.306,-4.34,-25.97,2.0,112932.94,421201.68,1174400.06,-998765.3,-3983895.01,-11516255.21,-12.45,62.61,37.62,-37.45,13.18,2,1.0,0.4522,0.0649,0.2476,45.22,6.49,24.76,3.0,2.0,0.0,0.0,1.0,,1015.0,6.0,4.0,0.8,0.0,0.0,0.0,45.61,1.0,,,0.0,0.0,48.06,15.89,12.43,10.49,3.566994266123812,7.04,2.0,,,9.35,2.0,,33.87,1.0,-0.577,0.0,0.0586,7.66,18.06,0.0,33.0,0.29,-0.61,57.0,0.0,0.34,0.76,3.0,,61.0,2.0,-35.4,-19.0,3.0,2.0,0.0
BANKINDIA,BANKING,2026-08-17,44.74,WATCHLIST,3,55.96,38.23,50.0,38.89,0.9,0.29,1.05,27.91,0.61,0.62,-13.68,2.0,144881.75,677784.91,2222631.52,-1279730.35,-6531305.0,-22016841.66,-47.74,-7.92,37.62,-37.45,13.18,2,3.0,0.7338,0.0726,0.1396,73.38,7.26,13.96,7.0,1.0,0.0,0.0,0.5,,1177.0,7.0,5.0,0.621,0.0,0.0,0.0,44.66,1.0,,,0.0,0.0,48.06,,,,,,,,,-2.9,0.0,1.0,42.94,1.0,-0.4201,0.0,0.2277,8.41,11.62,0.0,39.0,0.62,3.06,43.9,0.0,1.44,-1.22,2.0,,52.0,1.0,100.0,29.0,31.0,5.0,0.0
JETFREIGHT,LOGISTICS,2026-08-17,44.74,WATCHLIST,3,42.64,35.49,47.09,50.0,0.9,-8.35,7.32,67.13,0.27,-7.55,-10.26,2.0,24718.62,102449.94,226904.7,-218658.68,-960925.98,-2246625.76,18.4,100.0,37.62,-37.45,13.18,2,0.0,0.5092,,,50.92,0.03,,,,,,,0.0,300.0,2.0,5.0,0.545,1.0,0.0,0.0,41.82,1.0,,,,,,5.28,20.29,-10.16,3.099190981922221,1.29,1.0,,,,1.0,,50.5,1.0,-0.1552,1.0,0.3821,11.1,28.04,1.0,41.9,0.28,-5.58,70.1,,,,1.0,,50.0,1.0,-5.5,78.0,53.0,5.0,1.0
SHARIABEES,OTHER,2026-08-17,44.73,WATCHLIST,3,55.05,42.21,50.0,50.0,0.9,2.54,0.84,-7.44,1.094,0.71,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.79,1.0,-0.8306,0.0,0.0414,5.68,13.01,0.0,35.9,,,,,,,,,,,,,,,
GROWWLOVOL,OTHER,2026-08-17,44.73,WATCHLIST,3,55.04,42.21,50.0,50.0,0.9,1.64,2.93,3.53,0.618,-0.19,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.28,1.0,-0.0057,0.0,0.1856,3.89,19.25,0.0,14.4,,,,,,,,,,,,,,,
SETFNIFBK,OTHER,2026-08-17,44.72,WATCHLIST,3,54.98,42.21,50.0,50.0,0.9,0.21,7.91,6.22,0.599,-1.62,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.54,1.0,1.2555,1.0,0.7107,11.41,31.89,1.0,41.7,,,,,,,,,,,,,,,
NIFTYBETF,OTHER,2026-08-17,44.72,WATCHLIST,3,54.98,42.21,50.0,50.0,0.9,1.55,3.72,-0.63,0.895,-0.28,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.47,1.0,0.4,1.0,0.651,6.31,22.6,0.0,26.7,,,,,,,,,,,,,,,
NIFTYBEES,OTHER,2026-08-17,44.71,WATCHLIST,3,54.95,42.21,50.0,50.0,0.9,1.43,3.97,-0.41,0.913,-0.4,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.62,1.0,0.4217,1.0,0.6744,6.07,13.88,0.0,44.8,,,,,,,,,,,,,,,
GILT5YBEES,OTHER,2026-08-17,44.71,WATCHLIST,3,54.94,42.21,50.0,50.0,0.9,0.53,3.29,6.27,1.369,-1.3,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7,0.0,0.0357,1.0,0.8368,2.7,45.37,1.0,13.4,,,,,,,,,,,,,,,
GRINDWELL,CAPITAL_GOODS,2026-08-17,44.71,WATCHLIST,3,44.7,37.1,50.0,38.89,0.9,-9.18,16.32,38.61,0.278,-6.74,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,2.0,0.5803,0.0556,0.1918,58.03,5.56,19.18,,1.0,0.0,0.0,0.5,,470.0,4.0,4.0,0.5,0.0,0.0,0.0,49.88,1.0,,,0.0,0.0,48.06,19.98,16.93,10.96,4.226687749209813,13.1,2.0,,,25.54,1.0,,68.33,1.0,7.3863,1.0,0.8188,21.87,53.63,1.0,54.3,0.47,-6.41,54.9,0.0,-0.83,0.83,2.0,,44.0,1.0,-35.4,48.0,18.0,3.0,1.0
LANDMARK,AUTO,2026-08-17,44.68,WATCHLIST,3,61.86,37.52,50.0,38.89,0.9,2.26,36.23,-11.12,0.228,0.0,-15.39,2.0,182304.18,653156.26,1678870.35,-1608676.81,-5982697.23,-16373082.74,-5.88,66.43,37.62,-37.45,13.18,2,1.0,0.498,0.0505,0.2078,49.8,5.050000000000001,20.78,,1.0,0.0,0.0,0.5,,950.0,7.0,6.0,0.789,0.0,0.0,0.0,50.03,1.0,,,0.0,0.0,48.06,5.82,14.36,100.0,4.361951470242831,0.58,1.0,,,15.17,2.0,,58.72,1.0,0.3972,1.0,0.6814,17.24,43.97,1.0,28.5,0.39,5.03,34.0,0.04,-4.77,4.27,2.0,,44.0,1.0,-24.8,100.0,89.0,5.0,0.0
CHEMICAL,OTHER,2026-08-17,44.68,WATCHLIST,3,54.85,42.21,50.0,50.0,0.9,1.42,5.41,,0.884,-0.41,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.18,1.0,-0.0256,0.0,0.66,4.97,13.4,0.0,39.0,,,,,,,,,,,,,,,
GODREJAGRO,AGRICULTURE,2026-08-17,44.68,WATCHLIST,3,57.48,40.11,50.0,38.89,0.9,4.41,4.78,-19.11,2.498,-0.12,-16.75,2.0,5042.53,17375.36,53827.27,-44888.44,-161165.73,-514862.89,-36.54,-14.25,37.62,-37.45,13.18,2,2.0,0.6774,0.0632,0.0586,67.74,6.32,5.86,,1.0,0.0,0.0,0.5,,1102.0,7.0,6.0,0.6,0.0,0.0,0.0,46.22,1.0,,,,,,9.34,21.23,8.61,3.282038399825841,4.2,2.0,,,3.68,1.0,,38.07,1.0,-1.1916,0.0,0.0795,5.46,17.23,0.0,38.6,2.38,7.18,51.4,0.09,0.03,0.48,1.0,,50.0,1.0,23.8,58.0,31.0,4.0,1.0
MCCHRLS-B,HOSPITALITY,2026-08-17,44.68,WATCHLIST,3,41.4,39.46,50.0,50.0,0.9,-3.27,0.59,,0.615,-1.05,-16.86,2.0,34729.76,142069.25,387894.97,-306800.24,-1281516.62,-3725060.72,-28.46,22.29,37.62,-37.45,13.18,2,0.0,,,,,,,,,,,,,,,,,,,,39.69,1.0,,,,,,,,,,,,,,,1.0,,55.71,1.0,0.9812,2.0,0.843,5.17,40.67,1.0,50.5,0.57,-0.5,77.6,,,,,,,,-15.7,10.0,21.0,4.0,0.0
INFY,IT,2026-08-17,44.65,WATCHLIST,3,56.22,37.5,50.0,77.78,0.9,5.31,1.87,-25.48,0.452,7.43,-20.1,2.0,97439.9,552245.75,1627962.75,-862756.99,-5156312.52,-16134736.64,-25.16,31.11,37.62,-37.45,13.18,2,3.0,0.1438,0.2845,0.4338,14.38,28.45,43.38,6.0,2.0,1.0,0.0,4.0,,895.0,1.0,2.0,0.552,0.0,0.0,0.0,45.8,1.0,0.2857142857142857,,,,52.31,27.37,60.0,12.66,2.7862450486872667,16.33,3.0,,,-14.46,0.0,1.0,30.49,1.0,-11.5346,0.0,0.0715,25.67,22.49,0.0,70.1,0.44,8.08,55.8,-0.17,-1.13,1.7,2.0,,52.0,1.0,19.4,-3.0,0.0,2.0,0.0
DATAMATICS,IT,2026-08-17,44.65,WATCHLIST,3,55.7,37.5,50.0,38.89,0.9,0.28,14.9,-14.62,0.505,2.4,-20.1,2.0,97439.9,552245.75,1627962.75,-862756.99,-5156312.52,-16134736.64,-25.16,31.11,37.62,-37.45,13.18,2,1.0,0.6633,0.0048,0.0011,66.33,0.48,0.11,,1.0,0.0,0.0,0.5,,830.0,8.0,4.0,0.733,0.0,0.0,0.0,45.8,1.0,,,,,,23.52,20.17,9.83,3.068517943279639,14.04,3.0,,,9.43,1.0,,55.88,1.0,-0.8308,1.0,0.6779,9.25,12.21,0.0,40.6,0.48,3.05,51.0,0.0,-0.06,-0.02,1.0,,50.0,1.0,19.4,8.0,8.0,3.0,1.0
CCL,FMCG,2026-08-17,44.64,WATCHLIST,3,41.93,34.44,50.0,38.89,0.9,-5.48,1.26,30.21,0.515,-5.47,-43.77,2.0,218965.73,796203.33,1991833.99,-1943438.48,-7434924.67,-19780951.04,3.73,82.18,37.62,-37.45,13.18,2,2.0,0.4611,0.1124,0.2143,46.11,11.24,21.43,3.0,1.0,0.0,0.0,0.5,,667.0,5.0,6.0,0.786,0.0,0.0,0.0,46.22,1.0,,,,,,16.77,14.42,26.49,5.370126269294469,4.41,1.0,,,6.25,1.0,,62.57,1.0,4.4758,2.0,0.8192,12.8,37.12,1.0,37.9,0.5,-2.71,54.0,0.0,0.23,-0.1,1.0,,58.0,2.0,-15.7,43.0,23.0,3.0,0.0
INDOSTAR,FINANCIAL_SERVICES,2026-08-17,44.64,WATCHLIST,3,42.42,38.17,50.0,50.0,0.9,-9.17,25.37,-6.26,1.852,-7.83,-2.21,2.0,231953.0,937007.01,2703367.04,-2049541.97,-8677871.9,-26407866.45,-31.48,30.94,37.62,-37.45,13.18,2,1.0,0.7038,0.0259,0.0217,70.38,2.59,2.17,,,,,,,790.0,7.0,5.0,0.733,0.0,0.0,0.0,45.05,1.0,,,,,,56.72,8.6,3.89,4.3299435548036564,7.43,1.0,,,7.73,1.0,,59.41,1.0,0.1113,1.0,0.7128,15.1,28.62,1.0,37.8,1.72,-6.4,63.7,2.79,0.08,-0.12,6.0,,62.0,2.0,,38.0,15.0,1.0,1.0
GILT5BETA,OTHER,2026-08-17,44.61,WATCHLIST,3,54.53,42.21,50.0,50.0,0.9,1.57,1.54,,13.442,-0.26,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.49,1.0,0.0943,1.0,0.6932,3.87,39.61,1.0,31.6,,,,,,,,,,,,,,,
NIFTY1,OTHER,2026-08-17,44.6,WATCHLIST,3,54.47,42.21,50.0,50.0,0.9,1.17,3.88,-0.49,1.075,-0.66,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.66,1.0,0.3924,1.0,0.6721,5.97,21.65,0.0,27.9,,,,,,,,,,,,,,,
NIF100BEES,OTHER,2026-08-17,44.6,WATCHLIST,3,54.48,42.21,50.0,50.0,0.9,1.46,4.06,1.05,0.561,-0.37,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9,1.0,0.3055,1.0,0.6285,5.98,14.92,0.0,39.6,,,,,,,,,,,,,,,
MSCIINDIA,OTHER,2026-08-17,44.6,WATCHLIST,3,54.49,42.21,50.0,50.0,0.9,1.78,4.09,3.56,0.052,-0.05,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.95,1.0,0.034,1.0,0.6444,5.99,20.96,0.0,13.1,,,,,,,,,,,,,,,
NIFTYETF,OTHER,2026-08-17,44.6,WATCHLIST,3,54.48,42.21,50.0,50.0,0.9,1.34,4.02,-0.27,0.876,-0.49,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.42,1.0,0.4168,1.0,0.6694,6.0,20.29,0.0,39.9,,,,,,,,,,,,,,,
BSLNIFTY,OTHER,2026-08-17,44.59,WATCHLIST,3,54.38,42.21,50.0,50.0,0.9,1.38,3.92,-0.28,0.809,-0.45,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.22,1.0,0.0503,1.0,0.7058,6.27,32.89,1.0,28.7,,,,,,,,,,,,,,,
HEALTHIETF,OTHER,2026-08-17,44.56,WATCHLIST,3,54.27,42.21,50.0,50.0,0.9,-0.38,4.11,13.38,1.686,-2.21,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.54,0.0,0.5817,2.0,1.0117,6.91,25.95,1.0,37.9,,,,,,,,,,,,,,,
HEALTHY,OTHER,2026-08-17,44.55,WATCHLIST,3,54.22,42.21,50.0,50.0,0.9,0.12,4.94,13.8,0.593,-1.71,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.07,0.0,0.0555,2.0,1.0123,6.75,12.27,0.0,21.1,,,,,,,,,,,,,,,
BANKETF,OTHER,2026-08-17,44.54,WATCHLIST,3,54.2,42.21,50.0,50.0,0.9,0.05,7.71,6.18,0.584,-1.78,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.92,1.0,1.2179,1.0,0.7121,11.28,29.17,1.0,37.1,,,,,,,,,,,,,,,
SUNDARMFIN,FINANCIAL_SERVICES,2026-08-17,44.54,WATCHLIST,3,52.47,38.17,50.0,44.44,0.9,1.78,-1.83,-7.28,0.799,3.12,-2.21,2.0,231953.0,937007.01,2703367.04,-2049541.97,-8677871.9,-26407866.45,-31.48,30.94,37.62,-37.45,13.18,2,2.0,0.3721,0.1897,0.0769,37.21,18.97,7.689999999999999,4.0,2.0,0.0,0.0,1.0,,905.0,3.0,4.0,0.586,0.0,0.0,0.0,46.22,1.0,,,,,,79.71,,13.08,3.3414473772563813,20.79,3.0,,,-5.87,0.0,,53.98,1.0,38.9539,1.0,0.7109,17.31,25.09,1.0,42.1,0.75,4.55,65.6,0.0,-0.16,0.26,1.0,,58.0,2.0,,11.0,38.0,3.0,0.0
NETF,OTHER,2026-08-17,44.54,WATCHLIST,3,54.18,42.21,50.0,50.0,0.9,1.32,3.71,-0.67,0.987,-0.51,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9,1.0,0.4229,1.0,0.6844,5.88,25.03,1.0,36.8,,,,,,,,,,,,,,,
FERMENTA,PHARMA,2026-08-17,44.52,WATCHLIST,3,61.31,34.05,50.0,38.89,0.9,-0.52,56.18,,0.578,1.5,-1.01,2.0,147220.57,461968.55,1240426.68,-1300268.68,-4227889.96,-12102339.59,-2.2,68.44,37.62,-37.45,13.18,2,0.0,,,,,,,,1.0,0.0,0.0,0.5,,712.0,4.0,5.0,1.0,0.0,0.0,0.0,49.83,1.0,,,,,,,,,,,,,,,1.0,,63.36,1.0,2.857,1.0,0.7938,19.31,28.98,1.0,55.5,0.57,2.25,43.4,,,,,,,,-24.8,10.0,21.0,4.0,0.0
BSLSENETFG,OTHER,2026-08-17,44.5,WATCHLIST,3,53.98,42.21,50.0,50.0,0.9,0.97,3.94,-2.77,1.445,-0.86,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.92,1.0,0.1355,1.0,0.6514,7.72,22.5,0.0,15.5,,,,,,,,,,,,,,,
AONENIFTY,OTHER,2026-08-17,44.5,WATCHLIST,3,54.03,42.21,50.0,50.0,0.9,1.31,3.72,-0.69,0.948,-0.52,-11.52,2.0,153465.91,506513.02,1082199.21,-1364982.65,-4680323.71,-10708691.88,-14.84,14.62,37.62,-37.45,13.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.08,1.0,0.0143,1.0,0.6623,6.07,13.92,0.0,29.8,,,,,,,,,,,,,,,
