bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,TVS Holdings Limited,02-Apr-2026,5,-,INE105A01035,-,-,02-Apr-2026,EQ,Interim Dividend - Rs 86 Per Share,TVSHLTD
-,-,,Sundaram Clayton Limited,02-Apr-2026,5,-,INE0Q3R01026,-,-,03-Apr-2026,EQ,Interim Dividend - Rs  4.50 Per Share,SUNCLAY
-,-,,Indian Renewable Energy Development Agency Limited,02-Apr-2026,10,-,INE202E07104,-,-,02-Apr-2026,EQ,Interim Dividend - Re 0.60 Per Share,IREDA
-,-,,GOVERNMENT OF INDIA,07-Apr-2026,100,-,IN0020190016,-,-,07-Apr-2026,GS,Interest Payment,727GS2026
-,-,,Varun Beverages Limited,08-Apr-2026,2,-,INE200M01013,-,-,08-Apr-2026,EQ,Dividend - Re 0.50 Per Share,VBL
-,-,,GOVERNMENT OF INDIA,09-Apr-2026,100,-,IN0020160068,-,-,09-Apr-2026,GS,Interest Payment,706GS2046
-,-,,Jash Engineering Limited,10-Apr-2026,2,-,INE039O01011,-,-,10-Apr-2026,EQ,Interim Dividend - Re 0.60 Per Share,JASH
-,-,,R M Drip and Sprinklers Systems Limited,10-Apr-2026,1,-,INE219Y01018,-,-,10-Apr-2026,EQ,Bonus 5:7,RMDRIP
-,-,,Muthoot Finance Limited,17-Apr-2026,10,-,INE414G01012,-,-,17-Apr-2026,EQ,Interim Dividend - Rs 30 Per Share,MUTHOOTFIN
-,-,,Aurobindo Pharma Limited,17-Apr-2026,1,-,INE406A01029,-,-,17-Apr-2026,EQ,Buy Back,AUROPHARMA
-,-,,Pashupati Cotspin Limited,17-Apr-2026,1,-,INE124Y01010,-,-,17-Apr-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,PASHUPATI
-,-,,Sanofi India Limited,22-Apr-2026,10,-,INE058A01010,-,-,22-Apr-2026,EQ,Dividend - Rs 48 Per Share,SANOFI
-,-,,CIE Automotive India Limited,22-Apr-2026,10,-,INE536H01010,-,-,22-Apr-2026,EQ,Dividend - Rs 7 Per Share,CIEINDIA
-,-,,Huhtamaki India Limited,23-Apr-2026,2,-,INE275B01026,-,-,23-Apr-2026,EQ,Dividend - Rs 2 Per Share,HUHTAMAKI
-,-,,Crisil Limited,23-Apr-2026,1,-,INE007A01017,-,-,23-Apr-2026,EQ,Interim Dividend - Rs 9 Per Share,CRISIL
-,-,,Schaeffler India Limited,23-Apr-2026,2,-,INE513A01014,-,-,23-Apr-2026,EQ,Dividend - Rs 35 Per Share,SCHAEFFLER
-,-,,Mold-Tek Packaging Limited,24-Apr-2026,5,-,INE893J01011,-,-,24-Apr-2026,EQ,Interim Dividend - Rs 2 Per Share,MOLDTKPAC
-,-,,Windlas Biotech Limited,24-Apr-2026,5,-,INE0H5O01029,-,-,24-Apr-2026,EQ,Buy Back,WINDLAS
-,-,,HCL Technologies Limited,24-Apr-2026,2,-,INE860A01027,-,-,25-Apr-2026,EQ,Interim Dividend - Rs 24 Per Share,HCLTECH
-,-,,Anlon Healthcare Limited,24-Apr-2026,2,-,INE0Y8W01017,-,-,24-Apr-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,AHCL
-,-,,Anlon Healthcare Limited,24-Apr-2026,2,-,INE0Y8W01017,-,-,24-Apr-2026,EQ,Bonus 1:1,AHCL
-,-,,Patanjali Foods Limited,24-Apr-2026,2,-,INE619A01035,-,-,25-Apr-2026,EQ,Interim Dividend - Rs 1.75 Per Share,PATANJALI
-,-,,GOVERNMENT OF INDIA,24-Apr-2026,100,-,IN0020150077,-,-,24-Apr-2026,GS,Interest Payment,772GS2055
-,-,,360 ONE WAM LIMITED,27-Apr-2026,1,-,INE466L01020,-,-,27-Apr-2026,EQ,Interim Dividend - Rs 6 Per Share,360ONE
-,-,,Embassy Office Parks REIT,30-Apr-2026,300,-,INE041025011,-,-,30-Apr-2026,RR,Distribution - Rs 6.50 Per Unit Consisting Of Re 0.14 Per Unit As Interest/ Rs 1.39 Per Unit As Dividend/ Rs 4.97 Per Unit As Repayment Of Spv Level Debt,EMBASSY
-,-,,Hindustan Zinc Limited,30-Apr-2026,2,-,INE267A01017,-,-,30-Apr-2026,EQ,Interim Dividend - Rs 11 Per Share,HINDZINC
-,-,,Interise Trust,30-Apr-2026,100,-,INE790Z23019,-,-,01-May-2026,IV,Distribution - Rs 1.25 Per Unit Consist Of Rs 0.68 Per Unit As Interest/ Re 0.57 Per Unit As Dividend,INTERISE
-,-,,Tanla Platforms Limited,30-Apr-2026,1,-,INE483C01032,-,-,30-Apr-2026,EQ,Interim Dividend - Rs 6 Per Share,TANLA
-,-,,Varun Beverages Limited,30-Apr-2026,2,-,INE200M01013,-,-,01-May-2026,EQ,Interim Dividend - Re 0.50 Per Share,VBL
-,-,,Vedanta Limited,30-Apr-2026,1,-,INE205A01025,-,-,01-May-2026,EQ,Demerger,VEDL
-,-,,Vesuvius India Limited,30-Apr-2026,1,-,INE386A01015,-,-,30-Apr-2026,EQ,Dividend - Rs 1.50 Per Share,VESUVIUS
-,-,,ABB India Limited,30-Apr-2026,2,-,INE117A01022,-,-,02-May-2026,EQ,Dividend - Rs 29.59 Per Share,ABB
-,-,,Jagsonpal Pharmaceuticals Limited,04-May-2026,2,-,INE048B01027,-,-,04-May-2026,EQ,Buy Back,JAGSNPHARM
-,-,,UCO Bank,04-May-2026,10,-,INE691A01018,-,-,04-May-2026,EQ,Dividend - Re 0.44 Per Share,UCOBANK
-,-,,Mindspace Business Parks REIT,05-May-2026,275,-,INE0CCU25019,-,-,05-May-2026,RR,Distribution - Rs 6.64 Per Unit Consisting Of Dividend - Rs 3.35 Per Unit/ Repayment Of Spv Debt - Rs 3.26 Per Unit/ Interest - Re 0.01 Per Unit/Other Income - Re 0.02 Per Unit,MINDSPACE
-,-,,Indus Infra Trust,05-May-2026,100,-,INE0NHL23019,-,-,05-May-2026,IV,Distribution - Rs 3.50 Per Unit Consisting Of Re 1.01 Per Unit As Interest/ Rs 2.49 Per Unit As Return Of Capital,INDUSINVIT
-,-,,Elantas Beck India Limited,05-May-2026,10,-,INE280B01018,-,-,05-May-2026,EQ,Dividend - Rs. 7.50 Per Share,ELANTAS
-,-,,AVRO INDIA LIMITED,05-May-2026,1,-,INE652Z01017,-,-,05-May-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,AVROIND
-,-,,Hexaware Technologies Limited,05-May-2026,1,-,INE093A01041,-,-,05-May-2026,EQ,Interim Dividend - Rs 8.50 Per Share,HEXT
-,-,,EFC (I) Limited,07-May-2026,2,-,INE886D01026,-,-,07-May-2026,EQ,Rights 8:103 @ Premium Rs 148/-,EFCIL
-,-,,Oracle Financial Services Software Limited,07-May-2026,5,-,INE881D01027,-,-,07-May-2026,EQ,Interim Dividend - Rs 270 Per Share,OFSS
-,-,,National Aluminium Company Limited,08-May-2026,5,-,INE139A01026,-,-,08-May-2026,EQ,Interim Dividend - Rs 2 Per Share,NATIONALUM
-,-,,GOVERNMENT OF INDIA,08-May-2026,100,-,IN0020160019,-,-,08-May-2026,GS,Interest Payment,761GS2030
-,-,,Laurus Labs Limited,08-May-2026,2,-,INE947Q01010,-,-,08-May-2026,EQ,Interim Dividend - Rs 1.20 Per Share,LAURUSLABS
-,-,,Ksb Limited,08-May-2026,2,-,INE999A01015,-,-,08-May-2026,EQ,Dividend - Rs 4.40 Per Share,KSB
-,-,,Sundram Fasteners Limited,08-May-2026,1,-,INE387A01021,-,-,08-May-2026,EQ,Interim Dividend - Rs 4.25 Per Share,SUNDRMFAST
-,-,,Somany Ceramics Limited,08-May-2026,2,-,INE355A01010,-,-,08-May-2026,EQ,Interim Dividend - Rs 4 Per Share,SOMANYCERA
-,-,,GOVERNMENT OF INDIA,08-May-2026,100,-,IN0020140052,-,-,08-May-2026,GS,Interest Payment,824GS2033
-,-,,Central Bank of India,08-May-2026,10,-,INE483A01010,-,-,08-May-2026,EQ,Interim Dividend - Rs 0.60 Per Share,CENTRALBK
-,-,,Ramkrishna Forgings Limited,08-May-2026,2,-,INE399G01015,-,-,08-May-2026,EQ,Interim Dividend - Re 1 Per Share,RKFORGE
-,-,,Quess Corp Limited,08-May-2026,10,-,INE615P01015,-,-,08-May-2026,EQ,Special Dividend - Rs 3 Per Share,QUESS
-,-,,Premier Energies Limited,08-May-2026,1,-,INE0BS701011,-,-,09-May-2026,EQ,Interim Dividend - Re 0.75 Per Share,PREMIERENE
-,-,,Omax Autos Limited,08-May-2026,10,-,INE090B01011,-,-,08-May-2026,EQ,Interim Dividend - Rs 2.50 Per Share,OMAXAUTO
-,-,,Kothari Petrochemicals Limited,11-May-2026,10,-,INE720A01015,-,-,11-May-2026,EQ,Interim Dividend - Re 1 Per Share,KOTHARIPET
-,-,,Manappuram Finance Limited,11-May-2026,2,-,INE522D01027,-,-,11-May-2026,EQ,Interim Dividend - Re 0.50 Per Share,MANAPPURAM
-,-,,Godrej Consumer Products Limited,12-May-2026,1,-,INE102D01028,-,-,12-May-2026,EQ,Interim Dividend - Rs 5 Per Share,GODREJCP
-,-,,NRB Bearing Limited,13-May-2026,2,-,INE349A01021,-,-,13-May-2026,EQ,Interim Dividend - Rs 2.25 Per Share,NRBBEARING
-,-,,Shrem Invit,13-May-2026,100,-,INE0GTI23014,-,-,13-May-2026,IV,Distribution - Re 0.9294 Per Unit Consists Of Re 0.2540 Per Unit As Dividend/ Re 0.6754 Per Unit As Interest,SHREMINVIT
-,-,,Brookfield India Real Estate Trust,14-May-2026,275,-,INE0FDU25010,-,-,14-May-2026,RR,Distribution - Rs 5.50 Per Unit Consisting Of Interest - Rs 1.60 Per Unit/ Repayment Of Spv Debt - Rs 2.96 Per Unit/ Dividend - Re 0.88 Per Unit/ Interest On Fixed Deposit - Re 0.06 Per Unit,BIRET
-,-,,Oberoi Realty Limited,14-May-2026,10,-,INE093I01010,-,-,14-May-2026,EQ,Interim Dividend - Rs 2 Per Share,OBEROIRLTY
-,-,,GOVERNMENT OF INDIA,14-May-2026,100,-,IN0020170026,-,-,14-May-2026,GS,Interest Payment,679GS2027
-,-,,Kewal Kiran Clothing Limited,14-May-2026,10,-,INE401H01017,-,-,14-May-2026,EQ,Interim Dividend - Rs 2 Per Share,KKCL
-,-,,Anand Rathi Wealth Limited,15-May-2026,5,-,INE463V01026,-,-,15-May-2026,EQ,Dividend - Rs 7 Per Share,ANANDRATHI
-,-,,Knowledge Realty Trust,15-May-2026,100,-,INE1JAR25012,-,-,16-May-2026,RR,Distribution - Rs 1.616 Consisting Of Re 0.207 Per Unit As Interest/ Rs 0.981 Per Unit As Dividend/ Re 0.002 Per Unit As Other Income/ Re 0.426 Per Unit As Repayment Of Debt,KRT
-,-,,Kennametal India Limited,15-May-2026,10,-,INE717A01029,-,-,15-May-2026,EQ,Interim Dividend - Rs 40 Per Share,KENNAMET
-,-,,Indian Energy Exchange Limited,15-May-2026,1,-,INE022Q01012,-,-,15-May-2026,EQ,Dividend - Rs 2 Per Share,IEX
-,-,,Gopal Snacks Limited,15-May-2026,1,-,INE0L9R01028,-,-,16-May-2026,EQ,Interim Dividend - Re 0.40 Per Share,GOPAL
-,-,,Nuvama Wealth Management Limited,15-May-2026,2,-,INE531F01015,-,-,15-May-2026,EQ,Interim Dividend - Rs 14 Per Share,NUVAMA
-,-,,State Bank of India,15-May-2026,1,-,INE062A01012,-,-,16-May-2026,EQ,Dividend - Rs 17.35 Per Share,SBIN
-,-,,Sarla Performance Fibers Limited,15-May-2026,1,-,INE453D01017,-,-,15-May-2026,EQ,Buy Back,SARLAPOLY
-,-,,Aptus Value Housing Finance India Limited,15-May-2026,2,-,INE852O01025,-,-,15-May-2026,EQ,Interim Dividend - Rs 2.50 Per Share,APTUS
-,-,,Nexus Select Trust,15-May-2026,100,-,INE0NDH25011,-,-,15-May-2026,RR,Distribution - Rs 2.286 Consisting Of Re 0.753 As Interest/ Rs 1.28 Per Unit As Dividend/ Re 0.008 Per Unit As Other Income/ Re 0.245 Per Unit As Repayment Of Spv Level Debt,NXST
-,-,,National Highways Infra Trust,15-May-2026,101,-,INE0H7R23014,-,-,16-May-2026,IV,Distribution - Rs 1.970 Per Unit Consisting Of Re 1.960 Per Unit As Interest/ Rs 0.010 Per Unit As Other Income On Surplus Funds At Trust Level,NHIT
-,-,,Onward Technologies Limited,18-May-2026,10,-,INE229A01017,-,-,18-May-2026,EQ,Buy Back,ONWARDTEC
-,-,,Metropolis Healthcare Limited,19-May-2026,2,-,INE112L01020,-,-,19-May-2026,EQ,Interim Dividend - Re  1 Per Share,METROPOLIS
-,-,,TVS Infrastructure Trust,19-May-2026,100,-,INE1JNC23012,-,-,19-May-2026,IV,Distribution - Rs 1.58 Per Unit Consist Of Rs 1.44 Per Unit As Interest/ Re 0.14 Per Unit As Other Income,TVSINVIT
-,-,,Alicon Castalloy Limited,19-May-2026,5,-,INE062D01024,-,-,19-May-2026,EQ,Interim Dividend - Rs 2 Per Share,ALICON
-,-,,IndiGrid Infrastructure Trust,19-May-2026,100,-,INE219X23014,-,-,19-May-2026,IV,Distribution - Rs 4 Per Unit Consist Of Rs 2.5218 Per Unit As Interest/ Re 0.0964 Per Unit As Dividend/ Rs 1.2376 Per Unit As Capital Repayment/ Re 0.1442 Per Unit As Other Income,INDIGRID
-,-,,IRB INFRASTRUCTURE TRUST,19-May-2026,100,-,INE0C8K23012,-,-,19-May-2026,IV,Distribution - Rs. 1.70 Per Unit As Interest,IRBIT
-,-,,Man Infraconstruction Limited,19-May-2026,2,-,INE949H01015,-,-,19-May-2026,EQ,Interim Dividend - Rs 0.72 Per Share,MANINFRA
-,-,,POWERGRID Infrastructure Investment Trust,20-May-2026,100,-,INE0GGX23010,-,-,20-May-2026,IV,Distribution - Rs 3 Per Unit Consist Of Rs 1.71 Per Unit As Interest/ Re 0.50 Per Unit As Dividend/ Re 0.77 Per Unit As Repayment Of Spv Debt/ Re 0.02 Per Unit As Treasury Income,PGINVIT
-,-,,IRB InvIT Fund,20-May-2026,102,-,INE183W23014,-,-,20-May-2026,IV,Distribution Rs 1.60 Consists Of Rs 1.44 Per Unit As Interest/ Re 0.12 Per Unit As Return Of Capital/ Re 0.04 Per Unit As Exempt Dividend,IRBINVIT
-,-,,The Great Eastern Shipping Company Limited,20-May-2026,10,-,INE017A01032,-,-,20-May-2026,EQ,Interim Dividend - Rs 11.70 Per Share,GESHIP
-,-,,Garware Technical Fibres Limited,20-May-2026,10,-,INE276A01018,-,-,20-May-2026,EQ,Buy Back,GARFIBRES
-,-,,Integra Essentia Limited,20-May-2026,1,-,INE418N01035,-,-,20-May-2026,EQ,Rights 161:250 @ Premium Re 0.45 /-,ESSENTIA
-,-,,ITC Hotels Limited,21-May-2026,1,-,INE379A01028,-,-,21-May-2026,EQ,Dividend - Re 1 Per Share,ITCHOTELS
-,-,,AVG Logistics Limited,21-May-2026,10,-,INE680Z01018,-,-,21-May-2026,EQ,Rights 8:33 @ Premium Rs 135/-,AVG
-,-,,GM Breweries Limited,21-May-2026,10,-,INE075D01018,-,-,21-May-2026,EQ,Dividend - Rs 9 Per Share,GMBREW
-,-,,Pearl Global Industries Limited,21-May-2026,5,-,INE940H01014,-,-,21-May-2026,EQ,Interim Dividend - Rs 8.50 Per Share,PGIL
-,-,,Anantam Highways Trust,22-May-2026,100,-,INE1UA823019,-,-,22-May-2026,IV,Distribution - Rs 2.50 Per Unit Consist Of Re 0.4141 Per Unit As Interest/ Rs 2.0828 Per Unit As Dividend/ Re 0.0031 Per Unit As Other Income,ANANTAM
-,-,,Welspun Living Limited,22-May-2026,1,-,INE192B01031,-,-,22-May-2026,EQ,Buy Back,WELSPUNLIV
-,-,,Vinyl Chemicals (India) Limited,22-May-2026,1,-,INE250B01029,-,-,22-May-2026,EQ,Dividend - Rs 7 Per Share,VINYLINDIA
-,-,,Maithan Alloys Limited,22-May-2026,10,-,INE683C01011,-,-,22-May-2026,EQ,Interim Dividend - Rs 11 Per Share,MAITHANALL
-,-,,Vertis Infrastructure Trust,22-May-2026,100,-,INE0KXY23015,-,-,23-May-2026,IV,Distribution - Rs 3.6289 Per Unit Consist Of Rs 2.1929 Per Unit As Interest /Re 0.4111 Per Unit As Return Of Capital/ Re 0.9862 Per Unit As Dividend / Re 0.0387 Per Unit As Other Income,VERTIS
-,-,,Trident Limited,22-May-2026,1,-,INE064C01014,-,-,23-May-2026,EQ,Interim Dividend - Rs  0.50 Per Share,TRIDENT
-,-,,L&T Technology Services Limited,22-May-2026,2,-,INE010V01017,-,-,22-May-2026,EQ,Dividend - Rs 40 Per Share,LTTS
-,-,,L&T Finance Limited,22-May-2026,10,-,INE498L01015,-,-,22-May-2026,EQ,Dividend - Rs 2.75 Per Share,LTF
-,-,,Larsen & Toubro Limited,22-May-2026,2,-,INE018A01030,-,-,22-May-2026,EQ,Dividend - Rs 38 Per Share,LT
-,-,,Sula Vineyards Limited,22-May-2026,2,-,INE142Q01026,-,-,22-May-2026,EQ,Dividend - Rs 2 Per Share,SULA
-,-,,Jupiter Life Line Hospitals Limited,22-May-2026,10,-,INE682M01012,-,-,22-May-2026,EQ,Interim Dividend - Re 1 Per Share,JLHL
-,-,,Jindal Saw Limited,22-May-2026,1,-,INE324A01024,-,-,22-May-2026,EQ,Dividend - Rs 2 Per Share,JINDALSAW
-,-,,Himadri Speciality Chemical Limited,22-May-2026,1,-,INE019C01026,-,-,22-May-2026,EQ,Dividend - Re 0.80 Per Share,HSCL
-,-,,Havells India Limited,22-May-2026,1,-,INE176B01018,-,-,24-May-2026,EQ,Dividend - Rs 6 Per Share,HAVELLS
-,-,,Sustainable Energy Infra Trust,22-May-2026,100,-,INE0R8O23017,-,-,23-May-2026,IV,Distribution - Rs 2.44062 Per Unit Consist Of Rs 2.43595 Per Unit As Interest / Re 0.00467 Per Unit As Other Income,SEITINVIT
-,-,,GOVERNMENT OF INDIA,22-May-2026,100,-,IN0020140060,-,-,22-May-2026,GS,Interest Payment,815GS2026
-,-,,CMS Info Systems Limited,22-May-2026,10,-,INE925R01014,-,-,22-May-2026,EQ,Buy Back,CMSINFO
-,-,,Capital Infra Trust,22-May-2026,99,-,INE0Z8Z23013,-,-,22-May-2026,IV,Distribution - Rs 2.40 Per Unit Consist Of Re 0.99 Per Unit As Interest/ Re 0.63 Per Unit As Dividend/ Re 0.77 Per Unit As Repayment Of Capital/ Re 0.01 Per Unit As Other Income,CAPINVIT
-,-,,TATA CONSUMER PRODUCTS LIMITED,25-May-2026,1,-,INE192A01025,-,-,25-May-2026,EQ,Dividend - Rs 10 Per Share,TATACONSUM
-,-,,Siyaram Silk Mills Limited,25-May-2026,2,-,INE076B01010,-,-,25-May-2026,EQ,Special Dividend - Rs 4 Per Share,SIYSIL
-,-,,LTM Limited,25-May-2026,1,-,INE214T01019,-,-,25-May-2026,EQ,Dividend - Rs 53 Per Share,LTM
-,-,,Tata Consultancy Services Limited,25-May-2026,1,-,INE467B01029,-,-,25-May-2026,EQ,Dividend - Rs 31 Per Share,TCS
-,-,,IRB Infrastructure Developers Limited,26-May-2026,1,-,INE821I01014,-,-,26-May-2026,EQ,Interim Dividend - Re 0.05  Per Share,IRB
-,-,,GPT Infraprojects Limited,26-May-2026,10,-,INE390G01014,-,-,26-May-2026,EQ,Interim Dividend - Re 1 Per Share,GPTINFRA
-,-,,Hatsun Agro Product Limited,26-May-2026,1,-,INE473B01035,-,-,26-May-2026,EQ,Interim Dividend - Rs  10 Per Share,HATSUN
-,-,,Dhampur Sugar Mills Limited,26-May-2026,10,-,INE041A01016,-,-,26-May-2026,EQ,Interim Dividend - Rs 2 Per Share,DHAMPURSUG
-,-,,ITC Limited,27-May-2026,1,-,INE154A01025,-,-,27-May-2026,EQ,Dividend - Rs 8 Per Share,ITC
-,-,,Cube Highways Trust,27-May-2026,100,-,INE0NR623014,-,-,27-May-2026,IV,Distribution - Rs 3.57 Per Unit Consisting Of Rs 1.74 Per Unit As Interest/Re 0.27 Per Unit As Dividend/Rs 1.55 Per Unit As Return Of Capital/Rs 0.01 Per Unit As Tresury Income,CUBEINVIT
-,-,,Aptech Limited,27-May-2026,10,-,INE266F01018,-,-,28-May-2026,EQ,Interim Dividend - Rs. 4.5 Per Share,APTECHT
-,-,,GOVERNMENT OF INDIA,27-May-2026,100,-,IN0020160092,-,-,27-May-2026,GS,Interest Payment,662GS2051
-,-,,Page Industries Limited,27-May-2026,10,-,INE761H01022,-,-,27-May-2026,EQ,Interim Dividend - Rs 150 Per Share,PAGEIND
-,-,,Shah Metacorp Limited,27-May-2026,1,-,INE482J01021,-,-,27-May-2026,EQ,Rights 36:311 @ Premium Rs 3.86,SHAH
-,-,,Chemcon Speciality Chemicals Limited,27-May-2026,10,-,INE03YM01018,-,-,28-May-2026,EQ,Interim Dividend - Rs 6.50 Per Share,CHEMCON
-,-,,Anzen India Energy Yield Plus Trust,27-May-2026,100,-,INE0MIZ23019,-,-,27-May-2026,IV,Distribution - Rs 2.75 Per Unit Consist Of Rs 2.0716 Per Unit As Interest/Re 0.6024 Per Unit As Principal Repayment/Re 0.0760 Per Unit As Other Income,ANZEN
-,-,,Bank of India,29-May-2026,10,-,INE084A01016,-,-,29-May-2026,EQ,Dividend - Rs 4.65 Per Share,BANKINDIA
-,-,,Bajaj Auto Limited,29-May-2026,10,-,INE917I01010,-,-,29-May-2026,EQ,Dividend - Rs 150 Per Share,BAJAJ-AUTO
-,-,,BCPL Railway Infrastructure Limited,29-May-2026,10,-,INE00SW01015,-,-,29-May-2026,EQ,Dividend - Rs 1  Per Share,BCPL
-,-,,Caplin Point Laboratories Limited,29-May-2026,2,-,INE475E01018,-,-,30-May-2026,EQ,Interim Dividend - Rs 4 Per Share,CAPLIPOINT
-,-,,Roadstar Infra Investment Trust,29-May-2026,100,-,INE0JEI23010,-,-,30-May-2026,IV,Distribution - Rs 5.30 Per Unit Comprising Interest - Rs 2.71 Per Unit / Return Of Capital - Rs 2.58 Per Unit / Other Income Re - 0.01,ROADSTAR
-,-,,Cybertech Systems And Software Limited,29-May-2026,10,-,INE214A01019,-,-,29-May-2026,EQ,Buy Back,CYBERTECH
-,-,,Dhanuka Agritech Limited,29-May-2026,2,-,INE435G01025,-,-,29-May-2026,EQ,Buy Back,DHANUKA
-,-,,Torrent Pharmaceuticals Limited,29-May-2026,5,-,INE685A01028,-,-,29-May-2026,EQ,Dividend - Rs 9 Per Share,TORNTPHARM
-,-,,JB Chemicals & Pharmaceuticals Limited,29-May-2026,1,-,INE572A01028,-,-,29-May-2026,EQ,Dividend - Rs 9.30  Per Share,JBCHEPHARM
-,-,,UNO Minda Limited,29-May-2026,2,-,INE405E01023,-,-,29-May-2026,EQ,Dividend - Rs 1.75 Per Share,UNOMINDA
-,-,,Zydus Lifesciences Limited,29-May-2026,1,-,INE010B01027,-,-,29-May-2026,EQ,Buy Back,ZYDUSLIFE
-,-,,ICICI Lombard General Insurance Company Limited,29-May-2026,10,-,INE765G01017,-,-,29-May-2026,EQ,Dividend - Rs 7 Per Share,ICICIGI
-,-,,Home First Finance Company India Limited,29-May-2026,2,-,INE481N01025,-,-,29-May-2026,EQ,Dividend - Rs 5.20 Per Share,HOMEFIRST
-,-,,Life Insurance Corporation Of India,29-May-2026,10,-,INE0J1Y01017,-,-,29-May-2026,EQ,Bonus 1:1,LICI
-,-,,Advani Hotels & Resorts (India) Limited,29-May-2026,2,-,INE199C01026,-,-,29-May-2026,EQ,Interim Dividend - Rs 0.80 Per Share,ADVANIHOTR
-,-,,GlaxoSmithKline Pharmaceuticals Limited,29-May-2026,10,-,INE159A01016,-,-,29-May-2026,EQ,Dividend - Rs 57 Per Share,GLAXO
-,-,,Eris Lifesciences Limited,29-May-2026,1,-,INE406M01024,-,-,29-May-2026,EQ,Interim Dividend - Rs 7.21 Per Share,ERIS
-,-,,S Chand And Company Limited,29-May-2026,5,-,INE807K01035,-,-,29-May-2026,EQ,Interim Dividend - Rs 4 Per Share,SCHAND
-,-,,Le Merite Exports Limited,29-May-2026,2,-,INE0G1L01017,-,-,29-May-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,LEMERITE
-,-,,Epigral Limited,01-Jun-2026,10,-,INE071N01016,-,-,01-Jun-2026,EQ,Dividend - Rs 5 Per Share,EPIGRAL
-,-,,Colgate Palmolive (India) Limited,01-Jun-2026,1,-,INE259A01022,-,-,01-Jun-2026,EQ,Interim Dividend - Rs 24 Per Share,COLPAL
-,-,,Nxt-Infra Trust,02-Jun-2026,100,-,INE0SF023016,-,-,02-Jun-2026,IV,Distribution - Rs 4.3475 Per Unit Consist Of Rs 2.8887 Per Unit As Interest/ Rs 1.4588 Per Unit As Return Of Capital,NXT-INFRA
-,-,,NDR INVIT Trust,02-Jun-2026,100,-,INE0Q7Q23015,-,-,02-Jun-2026,IV,Distribution - Rs 1.92 Per Unit Consist Of Re 0.949 Per Unit As Interest / Re 0.971 Per Unit As Return Of Capital,NDRINVIT
-,-,,Setco Automotive Limited,02-Jun-2026,2,-,INE878E01021,-,-,02-Jun-2026,EQ,Interim Dividend - Rs 13 Per Share,SETCO
-,-,,Oriental InfraTrust,02-Jun-2026,100,-,INE07Z523018,-,-,02-Jun-2026,IV,Distribution - Rs 3.9155 Per Unit Consists Of Rs 1.2084 Per Unit As Interest/ Re 0.9735 Per Unit As Dividend/ Rs 1.7336 Per Unit As Return Of Capital,OSEINTRUST
-,-,,Anand Rathi Wealth Limited,03-Jun-2026,5,-,INE463V01026,-,-,03-Jun-2026,EQ,Bonus 1:1,ANANDRATHI
-,-,,Ashok Leyland Limited,03-Jun-2026,1,-,INE208A01029,-,-,03-Jun-2026,EQ,Interim Dividend - Rs 2.50 Per Share,ASHOKLEY
-,-,,Navneet Education Limited,03-Jun-2026,2,-,INE060A01024,-,-,03-Jun-2026,EQ,Interim Dividend - Rs 1.50 Per Share,NAVNETEDUL
-,-,,Foseco India Limited,03-Jun-2026,10,-,INE519A01011,-,-,03-Jun-2026,EQ,Dividend - Rs 25 Per Share,FOSECOIND
-,-,,Remsons Industries Limited,03-Jun-2026,2,-,INE474C01015,-,-,03-Jun-2026,EQ,Interim Dividend - Re 0.20 Per Share,REMSONSIND
-,-,,Rallis India Limited,04-Jun-2026,1,-,INE613A01012,-,-,04-Jun-2026,EQ,Dividend - Rs 3 Per Share,RALLIS
-,-,,Trent Limited,04-Jun-2026,1,-,INE849A01012,-,-,04-Jun-2026,EQ,Bonus 1:2,TRENT
-,-,,Technocraft Industries (India) Limited,04-Jun-2026,10,-,INE545H01011,-,-,04-Jun-2026,EQ,Interim Dividend - Rs 20 Per Share,TIIL
-,-,,Wipro Limited,05-Jun-2026,2,-,INE075A01022,-,-,05-Jun-2026,EQ,Buy Back,WIPRO
-,-,,Vertoz Limited,05-Jun-2026,10,-,INE188Y01015,-,-,05-Jun-2026,EQ,Interim Dividend - Rs 0.10 Per Share,VERTOZ
-,-,,Bank of Baroda,05-Jun-2026,2,-,INE028A01013,-,-,05-Jun-2026,EQ,Dividend - Rs 8.50 Per Share,BANKBARODA
-,-,,BEML Limited,05-Jun-2026,5,-,INE258A01016,-,-,05-Jun-2026,EQ,Interim Dividend - Rs 2.30 Per Share,BEML
-,-,,Ponni Sugars (Erode) Limited,05-Jun-2026,10,-,INE838E01017,-,-,05-Jun-2026,EQ,Dividend - Rs 5 Per Share,PONNIERODE
-,-,,Reliance Industries Limited,05-Jun-2026,10,-,INE002A01018,-,-,05-Jun-2026,EQ,Dividend - Rs 6 Per Share,RELIANCE
